Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP,GDP_log,Population_log,GDP_per_capita_log
United States,27720700000000.0,27.721 trillion,2.89,343477335,80706.0,26.11%,30.9532005424567,19.654631687828385,11.298580591512366
China,17794800000000.0,17.795 trillion,5.25,1422584933,12509.0,16.76%,30.50992739571549,21.075741429739452,9.434283603460957
Germany,4525700000000.0,4.526 trillion,-0.27,84548231,53528.0,4.26%,29.140793377249043,18.252832722386508,10.887978842099539
Japan,4204490000000.0,4.204 trillion,1.68,124370947,33806.0,3.96%,29.067174117812684,18.638779174017856,10.42842316062046
India,3567550000000.0,3.568 trillion,8.15,1438069596,2481.0,3.36%,28.902900201616426,21.086567493544194,7.8168199657645525
United Kingdom,3380850000000.0,3.381 trillion,0.34,68682962,49224.0,3.18%,28.849148273098095,18.045011735171283,10.804156903507327
France,3051830000000.0,3.052 trillion,0.94,66438822,45934.0,2.87%,28.746762526620163,18.011792127320664,10.734982632705567
Italy,2300940000000.0,2.301 trillion,0.7,59499453,38672.0,2.17%,28.46433885102294,17.901477694003166,10.562896961111214
Brazil,2173670000000.0,2.174 trillion,2.91,211140729,10295.0,2.05%,28.40743809917792,19.168035435941462,9.239510749275963
Canada,2142470000000.0,2.142 trillion,1.25,39299105,54517.0,2.02%,28.392980484987056,17.486712328489144,10.906286201351836
Russia,2021420000000.0,2.021 trillion,3.6,145440500,13899.0,1.90%,28.3348213506713,18.79527763310698,9.539644119118783
Mexico,1789110000000.0,1.789 trillion,3.2,129739759,13790.0,1.69%,28.21273940542962,18.68104115589392,9.531771484474337
Australia,1728060000000.0,1.728 trillion,3.44,26451124,65330.0,1.63%,28.17802050793041,17.09080924844536,11.08722193462106
South Korea,1712790000000.0,1.713 trillion,1.36,51748739,33098.0,1.61%,28.16914473581215,17.761910641987253,10.407258349428416
Spain,1620090000000.0,1.62 trillion,2.68,47911579,33814.0,1.53%,28.11350281918586,17.684867786816884,10.428659770009041
Indonesia,1371170000000.0,1.371 trillion,5.05,281190067,4876.0,1.29%,27.946685505904874,19.454541397220115,8.492285555710053
Netherlands,1154360000000.0,1.154 trillion,0.07,18092524,63803.0,1.09%,27.77456719377196,16.7110094275095,11.06357116329234
Turkey,1118250000000.0,1.118 trillion,5.11,87270501,12814.0,1.05%,27.742786079260263,18.28452307138604,9.458371638798171
Saudi Arabia,1067580000000.0,1.068 trillion,-0.76,33264292,32094.0,1.01%,27.69641552069415,17.319995097362447,10.376455533745878
Switzerland,884940000000.0,884.94 billion,0.72,8870561,99761.0,0.83%,27.50878568304701,15.998248711917858,11.510542628268434
Poland,809201000000.0,809.201 billion,0.14,38762844,20876.0,0.76%,27.419313178028908,17.47297274270596,9.94640335351296
Argentina,646075000000.0,646.075 billion,-1.61,45538401,14187.0,0.61%,27.19418143306279,17.634066527953458,9.560151815893512
Belgium,644783000000.0,644.783 billion,1.25,11712893,55049.0,0.61%,27.192179663028558,16.276200844237305,10.915997142150825
Sweden,584960000000.0,584.96 billion,-0.31,10551494,55439.0,0.55%,27.09480930577385,16.171778114008116,10.923056633863785
Ireland,551395000000.0,551.395 billion,-5.53,5196630,106106.0,0.52%,27.035717267669458,15.463521088968339,11.572203297920604
Thailand,514969000000.0,514.969 billion,1.89,71702435,7182.0,0.49%,26.96737254162559,18.088035279888114,8.879472402074802
United Arab Emirates,514130000000.0,514.13 billion,3.62,10642081,48311.0,0.48%,26.96574198871302,16.180326699427315,10.785435255987737
Israel,513611000000.0,513.611 billion,2.42,9256314,55488.0,0.48%,26.964732006540242,16.040816579255832,10.92394008189247
Austria,511685000000.0,511.685 billion,-0.95,9130429,56042.0,0.48%,26.960975038278544,16.027123348942933,10.933874532208671
Singapore,501428000000.0,501.428 billion,1.07,5789090,86616.0,0.47%,26.940725864751215,15.571485842405549,11.369251380135136
Norway,485311000000.0,485.311 billion,0.48,5519167,87932.0,0.46%,26.908055759494687,15.523737682255497,11.384330439839488
Bangladesh,437415000000.0,437.415 billion,5.78,171466990,2551.0,0.41%,26.804148238156166,18.95990133374189,7.844632644464681
Philippines,437146000000.0,437.146 billion,5.55,114891199,3805.0,0.41%,26.80353307235645,18.559496151548263,8.244334047856094
